channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
800393,1970123,1495234,1504237,2026220,-472260,-361269,-8388608,1404857045.033,0
794156,1969937,1491854,1504207,2025863,-472766,-361278,-8388608,1404857045.033,0
796469,1969623,1496553,1504323,2026114,-472187,-361882,-8388608,1404857045.049,0
799608,1969417,1500594,1504327,2026493,-471538,-361927,-8388608,1404857045.064,0
786478,1968809,1491236,1503291,2025180,-473411,-361891,-8388608,1404857045.343,0
787414,1968864,1494764,1504002,2025811,-472653,-362074,-8388608,1404857045.353,0
787696,1968929,1497344,1503893,2026250,-471898,-361637,-8388608,1404857045.36,0
779363,1969246,1494036,1504280,2026339,-472408,-361642,-8388608,1404857045.362,0
784321,1969823,1500280,1505069,2027266,-471069,-361532,-8388608,1404857045.365,0
773917,1969559,1492979,1504061,2026109,-472617,-361226,-8388608,1404857045.368,0
776233,1969928,1499650,1505098,2026937,-471847,-361583,-8388608,1404857045.37,0
775822,1969833,1500052,1504823,2026947,-471693,-361312,-8388608,1404857045.373,0
763784,1969853,1492553,1504206,2025956,-473282,-361532,-8388608,1404857045.376,0
768764,1969945,1500233,1504861,2026726,-471961,-361693,-8388608,1404857045.378,0
761448,1969859,1494531,1504347,2026052,-472651,-361376,-8388608,1404857045.381,0
759497,1969642,1497354,1504591,2026482,-472331,-362007,-8388608,1404857045.383,0
755064,1968998,1495091,1503677,2026074,-472764,-361823,-8388608,1404857045.386,0
749048,1969630,1491716,1504288,2026412,-472817,-361336,-8388608,1404857045.388,0
754610,1969021,1500171,1504175,2026754,-471751,-362433,-8388608,1404857045.392,0
741939,1968814,1491026,1503328,2025346,-473552,-362375,-8388608,1404857045.395,0
742939,1969271,1494472,1503647,2025679,-473022,-362926,-8388608,1404857045.398,0
743542,1968778,1496771,1503084,2025552,-472706,-362806,-8388608,1404857045.401,0
734717,1968615,1492698,1502916,2024779,-474025,-363376,-8388608,1404857045.404,0
739584,1968814,1498791,1503545,2025592,-472912,-363300,-8388608,1404857045.407,0
729629,1968693,1491774,1503153,2025101,-473878,-362474,-8388608,1404857045.41,0
731868,1968732,1498133,1503801,2026146,-472689,-362806,-8388608,1404857045.413,0
731606,1968404,1498543,1503478,2026079,-472572,-362686,-8388608,1404857045.416,0
720193,1968677,1491333,1503283,2025544,-473547,-362562,-8388608,1404857045.421,0
-4194304,725654,1968786,1499124,1503418,2026180,-472522,-362924,1404857045.423,0
718611,1968716,1493452,1502631,2025280,-473534,-362828,-8388608,1404857045.426,0
717025,1969111,1496231,1503771,2025684,-473032,-363028,-8388608,1404857045.428,0
719537,1968867,1499372,1503620,2025804,-4194304,713398,1968827,1404857045.432,0
706986,1968778,1490423,1502878,2025043,-474190,-362575,-8388608,1404857045.435,0
713244,1968958,1499583,1504090,2026345,-472501,-362634,-8388608,1404857045.437,0
708421,1968853,1495821,1503424,2025809,-473231,-362353,-8388608,1404857045.442,0
702021,1969023,1493924,1503630,2025778,-473638,-362555,-8388608,1404857045.445,0
703057,1968381,1496483,1503074,2025845,-473173,-362501,-8388608,1404857045.448,0
695143,1968383,1490538,1502653,2025244,-474297,-362463,-8388608,1404857045.45,0
699340,1968793,1498224,1503466,2026264,-472921,-362987,-8388608,1404857045.453,0
689938,1968783,1491237,1502670,2025151,-474009,-362721,-8388608,1404857045.455,0
687802,1969066,1491519,1503092,2025381,-473954,-362793,-8388608,1404857045.458,0
692693,1969300,1498318,1503161,2026023,-472702,-362926,-8388608,1404857045.461,0
681323,1969216,1491024,1503091,2025251,-473787,-362917,-8388608,1404857045.471,0
685638,1969309,1496901,1503649,2026024,-472789,-363136,-8388608,1404857045.474,0
680538,1969374,1493462,1502896,2025614,-473211,-362614,-8388608,1404857045.476,0
678971,1969838,1496219,1503991,2026149,-472842,-362794,-8388608,1404857045.479,0
682183,1969791,1499951,1504121,2026464,-472245,-362647,-8388608,1404857045.482,0
669229,1968871,1490225,1502741,2024957,-474534,-362859,-8388608,1404857045.485,0
675691,1968819,1499311,1503393,2025922,-473117,-363236,-8388608,1404857045.487,0
671376,1968838,1495715,1502774,2025365,-473607,-362992,-8388608,1404857045.49,0
664919,1968873,1493446,1502921,2025078,-474057,-363339,-8388608,1404857045.492,0
666927,1968924,1496772,1503225,2025608,-473088,-363032,-8388608,1404857045.495,0
659208,1968974,1490993,1502810,2024923,-474051,-362951,-8388608,1404857045.498,0
663422,1969264,1498527,1503358,2025811,-472916,-363467,-8388608,1404857045.501,0
654217,1968720,1491435,1502089,2024916,-474248,-362994,-8388608,1404857045.507,0
651939,1968692,1491421,1502244,2024883,-474308,-363405,-8388608,1404857045.51,0
657329,1968957,1498295,1502784,2025603,-473053,-363272,-8388608,1404857045.512,0
645368,1967934,1490019,1501818,2024171,-474972,-363849,-8388608,1404857045.515,0
650488,1968856,1496590,1503159,2025581,-473224,-363398,-8388608,1404857045.518,0
647094,1970038,1494583,1503789,2026374,-472419,-361817,-8388608,1404857045.52,0
646459,1971238,1497889,1505440,2027719,-471117,-361053,-8388608,1404857045.523,0
650706,1972011,1502683,1506278,2029024,-469597,-360126,-8388608,1404857045.525,0
639579,1973119,1494374,1506546,2029096,-469994,-358887,-8388608,1404857045.528,0
648278,1974988,1505468,1509121,2031881,-466725,-357591,-8388608,1404857045.531,0
644614,1975278,1502324,1508934,2031749,-466821,-356875,-8388608,1404857045.533,0
639956,1977061,1501326,1510585,2032544,-465983,-356189,-8388608,1404857045.536,0
643720,1978618,1506121,1511978,2033985,-464087,-354655,-8388608,1404857045.538,0
636168,1979167,1500302,1512113,2033887,-464756,-353954,-8388608,1404857045.541,0
