channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
8388607,8388607,-6383405,-2341279,8299951,-7160607,-5900885,8382124,1404598429.472,0
8388607,8388607,-6384264,-2342419,8300334,-7161051,-5902221,8382543,1404598429.475,0
8388607,8388607,-6382869,-2340164,8299476,-7159959,-5899759,8381604,1404598429.488,0
8388607,8388607,-6382212,-2338833,8299041,-7159358,-5898147,8381125,1404598429.491,0
8388607,8388607,-6385282,-2342720,8300561,-7161141,-5902859,8382764,1404598429.495,0
8388607,8388607,-6382887,-2338801,8299097,-7159262,-5898641,8381164,1404598429.509,0
8388607,8388607,-6385705,-2342401,8300417,-7160815,-5903131,8382599,1404598429.789,0
8388607,8388607,-6384876,-2341060,8300029,-7160278,-5901840,8382164,1404598429.798,0
8388607,8388607,-6384624,-2339957,8299584,-7159652,-5900582,8381676,1404598429.811,0
8388607,8388607,-6386011,-2341566,8300294,-7160440,-5902992,8382427,1404598429.814,0
8388607,8388607,-6384257,-2338762,8299455,-7159297,1,-3,1404598429.816,0
8388607,8388607,-6387016,-2342264,8300603,-7160672,-5903666,8382758,1404598429.822,0
8388607,8388607,-6385161,-2339171,8299507,-7159243,-5900907,8381543,1404598429.825,0
8388607,8388607,-6385146,-2338669,8299486,-7159142,-5900637,8381498,1404598429.829,0
8388607,8388607,-6387975,-2342529,8300724,-7160612,-5904632,8382859,1404598429.833,0
8388607,8388607,-6385543,-2338412,8299631,-7159099,-5900681,8381613,1404598429.836,0
8388607,8388607,-6388643,-2342574,8300711,-7160444,-5905066,8382843,1404598429.84,0
8388607,8388607,-6387205,-2340321,8299936,-7159434,-5902736,8381988,1404598429.843,0
8388607,8388607,-6388029,-2340703,8300428,-7159886,-5903488,8382483,1404598429.847,0
8388607,8388607,-6388142,-2340584,8300385,-7159762,-5903855,8382412,1404598429.85,0
8388607,8388607,-6388067,-2339794,8300160,-7159386,-5903203,8382166,1404598429.87,0
8388607,8388607,-6389717,-2342022,8300904,-7160288,-5905940,8382974,1404598429.873,0
8388607,8388607,-6387460,-2338214,8299517,-7158504,-5902107,8381446,1404598429.876,0
8388607,8388607,-6390352,-2341811,8300756,-7159973,-5906204,8382806,1404598429.878,0
8388607,8388607,-6388135,-2338274,8299674,-7158516,-5902615,8381595,1404598429.881,0
8388607,8388607,-6388522,-2338404,8299701,-7158511,-5902844,8381626,1404598429.884,0
8388607,8388607,-6390981,-2341676,8300697,-7159701,-5906326,8382730,1404598429.886,0
8388607,8388607,-6389004,-2338043,8299560,-7158186,-5903029,8381453,1404598429.891,0
8388607,8388607,-6391791,-2341782,8300891,-7159757,-5907110,8382908,1404598429.893,0
8388607,8388607,-6390154,-2339237,8300054,-7158660,-5904354,8381989,1404598429.896,0
8388607,8388607,-6391197,-2339982,8300524,-7159131,-5905771,8382481,1404598429.899,0
8388607,8388607,-6391212,-2339702,8300234,-7158727,-5905342,8382165,1404598429.901,0
8388607,8388607,-6391779,-2339794,8300415,-7158846,-5905659,8382357,1404598429.904,0
8388607,8388607,-6393217,-2341789,8301376,-7159936,-5907948,8383381,1404598429.907,0
8388607,8388607,-6390584,-2337527,8299719,-7157840,-5903630,8381578,1404598429.91,0
8388607,8388607,-6393508,-2341286,8300913,-7159287,-5908152,8382888,1404598429.912,0
8388607,8388607,-6391142,-2337332,8299499,-7157474,-5904404,8381321,1404598429.915,0
8388607,8388607,-6391935,-2338066,8299847,-7157842,-5905266,8381696,1404598429.918,0
8388607,8388607,-6393776,-2340619,8300678,-7158806,-5907946,8382621,1404598429.921,0
8388607,8388607,-6392175,-2337597,8299936,-7157735,-5905059,8381766,1404598429.923,0
8388607,8388607,-6394700,-2340853,8301030,-7159034,-5908774,8382956,1404598429.926,0
8388607,8388607,-6392867,-2337949,8300086,-7157811,-5905941,8381904,1404598429.929,0
8388607,8388607,-6394669,-2339884,8300820,-7158631,-5908253,8382709,1404598429.931,0
8388607,8388607,-6393716,-2338407,8300291,-7157892,-5906667,8382120,1404598429.934,0
8388607,8388607,-6394793,-2339277,8300412,-7158008,-5907811,8382274,1404598429.937,0
8388607,8388607,-6395959,-2340794,8300933,-7158626,-5909762,8382826,1404598429.94,0
8388607,8388607,-6393504,-2336672,8299913,-7157181,-5905590,8381663,1404598429.942,0
8388607,8388607,-6396579,-2340779,8300992,-7158516,-5910065,8382883,1404598429.945,0
8388607,8388607,-6394241,-2336966,8299719,-7156839,-5905904,8381479,1404598429.948,0
8388607,8388607,-6395328,-2338201,8300274,-7157465,-5907339,8382077,1404598429.951,0
8388607,8388607,-6396776,-2340014,8300999,-7158276,-5909621,8382852,1404598429.953,0
8388607,8388607,-6395568,-2337525,8300306,-7157296,-5907366,8382069,1404598429.956,0
8388607,8388607,-6397394,-2340030,8301210,-7158333,-5910261,8383046,1404598429.959,0
8388607,8388607,-6395654,-2337277,8300436,-7157283,-5907294,8382179,1404598429.961,0
8388607,8388607,-6397883,-2339797,8301335,-7158327,-5910466,8383151,1404598429.964,0
8388607,8388607,-6396751,-2337899,8300382,-7157127,-5908264,8382128,1404598429.967,0
8388607,8388607,-6398161,-2339219,8301005,-7157806,-5910242,8382794,1404598429.97,0
8388607,8388607,-6398845,-2340119,8301561,-7158406,-5911516,8383370,1404598429.972,0
8388607,8388607,-6396499,-2336123,8300143,-7156566,-5907441,8381810,1404598429.975,0
8388607,8388607,-6399672,-2340249,8301601,-7158294,-5912071,8383392,1404598429.978,0
8388607,8388607,-6397178,-2336116,8300551,-7156825,-5907769,8382201,1404598429.981,0
8388607,8388607,-6398546,-2337827,8301139,-7157517,-5909656,8382852,1404598429.983,0
8388607,8388607,-6399448,-2338947,8301440,-7157831,-5910791,8383181,1404598429.986,0
8388607,8388607,-6398949,-2337464,8301009,-7157201,-5909527,8382700,1404598430.004,0
8388607,8388607,-6400371,-2339264,8301750,-7158027,-5911815,8383488,1404598430.007,0
8388607,8388607,-6398524,-2336282,8300804,-7156799,-5908852,8382436,1404598430.01,0
8388607,8388607,-6401027,-2339410,8301751,-7157924,-5912447,8383484,1404598430.013,0
8388607,8388607,-6399275,-2336492,8300854,-7156704,-5909519,8382475,1404598430.016,0
8388607,8388607,-6399408,-2336234,-4194304,8388607,8388607,-6401686,1404598430.02,0
8388607,8388607,-6402146,-2340000,8301881,-7157899,-5913161,8383623,1404598430.023,0
8388607,8388607,-6399737,-2335918,8300641,-7156244,-5909232,8382234,1404598430.026,0
8388607,8388607,-6402591,-2339795,8301999,-7157860,-5913573,8383724,1404598430.03,0
8388607,8388607,-6400991,-2337263,8301274,-7156889,-5911185,8382900,1404598430.033,0
8388607,8388607,-6401949,-2337833,8301636,-7157231,-5912025,8383283,1404598430.037,0
8388607,8388607,-6402116,-2337882,8301564,-7157089,-5912213,8383202,1404598430.04,0
8388607,8388607,-6402069,-2337186,8301227,-7156606,-5911521,8382838,1404598430.044,0
8388607,8388607,-6403641,-2339325,8302067,-7157604,-5914174,8383744,1404598430.048,0
8388607,8388607,-6401330,-2335460,8300893,-7156031,-5910300,8382432,1404598430.051,0
8388607,8388607,-6404262,-2339184,8301997,-7157379,-5914522,8383652,1404598430.054,0
8388607,8388607,-6401991,-2335586,8300748,-7155748,-5910872,8382277,1404598430.057,0
8388607,8388607,-6402366,-2335771,8300762,-7155741,-5911116,8382298,1404598430.061,0
8388607,8388607,-6404701,-2339048,8302012,-7157177,-5914496,8383649,1404598430.064,0
8388607,8388607,-6402844,-2335634,8300861,-7155669,-5911312,8382373,1404598430.067,0
8388607,8388607,-6405628,-2339428,8302376,-7157432,-5915324,8384016,1404598430.07,0
8388607,8388607,-6403844,-2336689,8301539,-7156327,-5912546,8383081,1404598430.072,0
8388607,8388607,-6405004,-2337646,8301799,-7156612,-5914227,8383368,1404598430.075,0
8388607,8388607,-6404810,-2337139,8301423,-7156114,-5913667,8382956,1404598430.078,0
8388607,8388607,-6405294,-2337066,8301708,-7156323,-5914173,8383232,1404598430.081,0
8388607,8388607,-6406679,-2339023,8302419,-7157170,-5916401,8384008,1404598430.083,0
