3.6200 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.1759 	WARNING 	t of last frame was 20.48ms (=1/48)
4.2122 	WARNING 	t of last frame was 36.34ms (=1/27)
4.2680 	WARNING 	t of last frame was 46.07ms (=1/21)
4.6677 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
4.6699 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=0, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units='cm', win=Window(...), wrapWidth=UNKNOWN)
4.6786 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
6.9928 	EXP 	Created Fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.05,  0.05]), tex='gauss', texRes=128, units='cm', win=Window(...))
6.9965 	EXP 	Created pattern1 = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='pattern1', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
7.0007 	EXP 	Created pattern2 = GratingStim(autoDraw=False, autoLog=True, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask=None, maskParams=None, name='pattern2', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=256, units='cm', win=Window(...))
7.0537 	EXP 	Created ThankYou = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=58, italic=False, name='ThankYou', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'thank you', units='cm', win=Window(...), wrapWidth=UNKNOWN)
7.3382 	EXP 	Set  sound=A
7.3383 	EXP 	Set Sound  volume=1.000
7.3922 	EXP 	GratingStim: autoDraw = False
7.3922 	EXP 	GratingStim: autoDraw = False
7.3922 	EXP 	GratingStim: autoDraw = False
7.3922 	EXP 	GratingStim: autoDraw = False
7.3922 	EXP 	TextStim: autoDraw = True
8.1970 	DATA 	Keypress: space
8.2176 	EXP 	TextStim: autoDraw = False
8.2176 	EXP 	TextStim: autoDraw = True
8.2176 	EXP 	GratingStim: autoDraw = True
10.2403 	EXP 	Created sequence: random, trialTypes=1, nReps=120, seed=None
10.4184 	EXP 	New trial (rep=0, index=0): None
10.4385 	EXP 	TextStim: autoDraw = False
10.4385 	EXP 	GratingStim: autoDraw = False
10.4385 	EXP 	TextStim: autoDraw = False
10.4385 	EXP 	GratingStim: autoDraw = False
10.4385 	EXP 	GratingStim: autoDraw = True
12.4244 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
12.4277 	EXP 	New trial (rep=0, index=0): None
12.4413 	EXP 	GratingStim: autoDraw = False
12.4413 	EXP 	GratingStim: autoDraw = False
12.4413 	EXP 	GratingStim: autoDraw = True
12.5059 	EXP 	GratingStim: autoDraw = False
12.5059 	EXP 	GratingStim: autoDraw = True
12.5681 	EXP 	New trial (rep=1, index=0): None
12.5960 	EXP 	GratingStim: autoDraw = False
12.5960 	EXP 	GratingStim: autoDraw = False
12.5960 	EXP 	GratingStim: autoDraw = False
12.5960 	EXP 	GratingStim: autoDraw = True
12.6898 	EXP 	GratingStim: autoDraw = False
12.6898 	EXP 	GratingStim: autoDraw = True
12.7499 	EXP 	New trial (rep=2, index=0): None
12.7854 	EXP 	GratingStim: autoDraw = False
12.7854 	EXP 	GratingStim: autoDraw = False
12.7854 	EXP 	GratingStim: autoDraw = False
12.7854 	EXP 	GratingStim: autoDraw = True
12.8574 	EXP 	GratingStim: autoDraw = False
12.8574 	EXP 	GratingStim: autoDraw = True
12.9078 	EXP 	New trial (rep=3, index=0): None
12.9230 	EXP 	GratingStim: autoDraw = False
12.9230 	EXP 	GratingStim: autoDraw = False
12.9230 	EXP 	GratingStim: autoDraw = False
12.9230 	EXP 	GratingStim: autoDraw = True
12.9924 	EXP 	GratingStim: autoDraw = False
12.9924 	EXP 	GratingStim: autoDraw = True
13.0421 	EXP 	New trial (rep=4, index=0): None
13.0598 	EXP 	GratingStim: autoDraw = False
13.0598 	EXP 	GratingStim: autoDraw = False
13.0598 	EXP 	GratingStim: autoDraw = False
13.0598 	EXP 	GratingStim: autoDraw = True
13.1247 	EXP 	GratingStim: autoDraw = False
13.1247 	EXP 	GratingStim: autoDraw = True
13.1998 	EXP 	New trial (rep=5, index=0): None
13.2237 	EXP 	GratingStim: autoDraw = False
13.2237 	EXP 	GratingStim: autoDraw = False
13.2237 	EXP 	GratingStim: autoDraw = False
13.2237 	EXP 	GratingStim: autoDraw = True
13.3094 	EXP 	GratingStim: autoDraw = False
13.3094 	EXP 	GratingStim: autoDraw = True
13.3618 	EXP 	New trial (rep=6, index=0): None
13.3778 	EXP 	GratingStim: autoDraw = False
13.3778 	EXP 	GratingStim: autoDraw = False
13.3778 	EXP 	GratingStim: autoDraw = False
13.3778 	EXP 	GratingStim: autoDraw = True
13.4766 	EXP 	GratingStim: autoDraw = False
13.4766 	EXP 	GratingStim: autoDraw = True
13.5260 	EXP 	New trial (rep=7, index=0): None
13.5419 	EXP 	GratingStim: autoDraw = False
13.5419 	EXP 	GratingStim: autoDraw = False
13.5419 	EXP 	GratingStim: autoDraw = False
13.5419 	EXP 	GratingStim: autoDraw = True
13.6077 	EXP 	GratingStim: autoDraw = False
13.6077 	EXP 	GratingStim: autoDraw = True
13.6604 	EXP 	New trial (rep=8, index=0): None
13.6752 	EXP 	GratingStim: autoDraw = False
13.6752 	EXP 	GratingStim: autoDraw = False
13.6752 	EXP 	GratingStim: autoDraw = False
13.6752 	EXP 	GratingStim: autoDraw = True
13.7431 	EXP 	GratingStim: autoDraw = False
13.7431 	EXP 	GratingStim: autoDraw = True
13.7933 	EXP 	New trial (rep=9, index=0): None
13.8078 	EXP 	GratingStim: autoDraw = False
13.8078 	EXP 	GratingStim: autoDraw = False
13.8078 	EXP 	GratingStim: autoDraw = False
13.8078 	EXP 	GratingStim: autoDraw = True
13.8745 	EXP 	GratingStim: autoDraw = False
13.8745 	EXP 	GratingStim: autoDraw = True
13.9269 	EXP 	New trial (rep=10, index=0): None
13.9426 	EXP 	GratingStim: autoDraw = False
13.9426 	EXP 	GratingStim: autoDraw = False
13.9426 	EXP 	GratingStim: autoDraw = False
13.9426 	EXP 	GratingStim: autoDraw = True
14.0082 	EXP 	GratingStim: autoDraw = False
14.0082 	EXP 	GratingStim: autoDraw = True
14.0594 	EXP 	New trial (rep=11, index=0): None
14.0750 	EXP 	GratingStim: autoDraw = False
14.0750 	EXP 	GratingStim: autoDraw = False
14.0750 	EXP 	GratingStim: autoDraw = False
14.0750 	EXP 	GratingStim: autoDraw = True
14.1419 	EXP 	GratingStim: autoDraw = False
14.1419 	EXP 	GratingStim: autoDraw = True
14.1938 	EXP 	New trial (rep=12, index=0): None
14.2085 	EXP 	GratingStim: autoDraw = False
14.2085 	EXP 	GratingStim: autoDraw = False
14.2085 	EXP 	GratingStim: autoDraw = False
14.2085 	EXP 	GratingStim: autoDraw = True
14.2755 	EXP 	GratingStim: autoDraw = False
14.2755 	EXP 	GratingStim: autoDraw = True
14.3272 	EXP 	New trial (rep=13, index=0): None
14.3421 	EXP 	GratingStim: autoDraw = False
14.3421 	EXP 	GratingStim: autoDraw = False
14.3421 	EXP 	GratingStim: autoDraw = False
14.3421 	EXP 	GratingStim: autoDraw = True
14.4093 	EXP 	GratingStim: autoDraw = False
14.4093 	EXP 	GratingStim: autoDraw = True
14.4601 	EXP 	New trial (rep=14, index=0): None
14.4757 	EXP 	GratingStim: autoDraw = False
14.4757 	EXP 	GratingStim: autoDraw = False
14.4757 	EXP 	GratingStim: autoDraw = False
14.4757 	EXP 	GratingStim: autoDraw = True
14.5425 	EXP 	GratingStim: autoDraw = False
14.5425 	EXP 	GratingStim: autoDraw = True
14.5948 	EXP 	New trial (rep=15, index=0): None
14.6106 	EXP 	GratingStim: autoDraw = False
14.6106 	EXP 	GratingStim: autoDraw = False
14.6106 	EXP 	GratingStim: autoDraw = False
14.6106 	EXP 	GratingStim: autoDraw = True
14.6763 	EXP 	GratingStim: autoDraw = False
14.6763 	EXP 	GratingStim: autoDraw = True
14.7272 	EXP 	New trial (rep=16, index=0): None
14.7430 	EXP 	GratingStim: autoDraw = False
14.7430 	EXP 	GratingStim: autoDraw = False
14.7430 	EXP 	GratingStim: autoDraw = False
14.7430 	EXP 	GratingStim: autoDraw = True
14.8097 	EXP 	GratingStim: autoDraw = False
14.8097 	EXP 	GratingStim: autoDraw = True
14.8666 	EXP 	New trial (rep=17, index=0): None
14.8784 	EXP 	GratingStim: autoDraw = False
14.8784 	EXP 	GratingStim: autoDraw = False
14.8784 	EXP 	GratingStim: autoDraw = False
14.8784 	EXP 	GratingStim: autoDraw = True
14.9473 	EXP 	GratingStim: autoDraw = False
14.9473 	EXP 	GratingStim: autoDraw = True
14.9994 	EXP 	New trial (rep=18, index=0): None
15.0117 	EXP 	GratingStim: autoDraw = False
15.0117 	EXP 	GratingStim: autoDraw = False
15.0117 	EXP 	GratingStim: autoDraw = False
15.0117 	EXP 	GratingStim: autoDraw = True
15.0776 	EXP 	GratingStim: autoDraw = False
15.0776 	EXP 	GratingStim: autoDraw = True
15.1320 	EXP 	New trial (rep=19, index=0): None
15.1437 	EXP 	GratingStim: autoDraw = False
15.1437 	EXP 	GratingStim: autoDraw = False
15.1437 	EXP 	GratingStim: autoDraw = False
15.1437 	EXP 	GratingStim: autoDraw = True
15.2128 	EXP 	GratingStim: autoDraw = False
15.2128 	EXP 	GratingStim: autoDraw = True
15.2628 	EXP 	New trial (rep=20, index=0): None
15.2777 	EXP 	GratingStim: autoDraw = False
15.2777 	EXP 	GratingStim: autoDraw = False
15.2777 	EXP 	GratingStim: autoDraw = False
15.2777 	EXP 	GratingStim: autoDraw = True
15.3481 	EXP 	GratingStim: autoDraw = False
15.3481 	EXP 	GratingStim: autoDraw = True
15.3956 	EXP 	New trial (rep=21, index=0): None
15.4110 	EXP 	GratingStim: autoDraw = False
15.4110 	EXP 	GratingStim: autoDraw = False
15.4110 	EXP 	GratingStim: autoDraw = False
15.4110 	EXP 	GratingStim: autoDraw = True
15.4779 	EXP 	GratingStim: autoDraw = False
15.4779 	EXP 	GratingStim: autoDraw = True
15.5289 	EXP 	New trial (rep=22, index=0): None
15.5448 	EXP 	GratingStim: autoDraw = False
15.5448 	EXP 	GratingStim: autoDraw = False
15.5448 	EXP 	GratingStim: autoDraw = False
15.5448 	EXP 	GratingStim: autoDraw = True
15.6136 	EXP 	GratingStim: autoDraw = False
15.6136 	EXP 	GratingStim: autoDraw = True
15.6636 	EXP 	New trial (rep=23, index=0): None
15.6798 	EXP 	GratingStim: autoDraw = False
15.6798 	EXP 	GratingStim: autoDraw = False
